,OFFER,RETAILER,BRAND,BRAND_BELONGS_TO_CATEGORY,RECEIPTS,CATEGORY_ID,PRODUCT_CATEGORY,IS_CHILD_CATEGORY_TO
0,Spend $50 on a Full-Priced new Club Membership,SAMS CLUB,SAMS CLUB,,,,,
1,"Beyond Meat® Plant-Based products, spend $25",,BEYOND MEAT,Plant-Based Meat,1584,,,
2,"Beyond Meat® Plant-Based products, spend $25",,BEYOND MEAT,Frozen Plant-Based Meat,313,,,
3,"Beyond Meat® Plant-Based products, spend $25",,BEYOND MEAT,Packaged Meat,30,,,
4,Good Humor Viennetta Frozen Vanilla Cake,,GOOD HUMOR,Frozen Desserts,1052,,,
5,Good Humor Viennetta Frozen Vanilla Cake,,GOOD HUMOR,Dips & Salsa,596,,,
6,"Butterball, select varieties, spend $10 at Dillons Food Store",DILLONS FOOD STORE,BUTTERBALL,Nut Butters & Jam,2107,,,
7,"Butterball, select varieties, spend $10 at Dillons Food Store",DILLONS FOOD STORE,BUTTERBALL,Frozen Turkey,388,,,
8,"GATORADE® Fast Twitch®, 12-ounce 12 pack, at Amazon Storefront*",AMAZON,GATORADE,Sports Drinks,34829,,,
9,"GATORADE® Fast Twitch®, 12-ounce 12 pack, at Amazon Storefront*",AMAZON,GATORADE,Medicines & Treatments,25275,,,
10,"GATORADE® Fast Twitch®, 12-ounce 12 pack, at Amazon Storefront*",AMAZON,GATORADE,Meal Replacement Beverages,289,,,
11,Emmy's Organics® Cookies OR Brownie Snaps,,EMMYS POP UP,Cookies,38,,,
12,"Dr Pepper®, Regular OR Zero Sugar Strawberries and Cream 12 pack, at select retailers",UNITED SUPERMARKETS,DR PEPPER,Carbonated Soft Drinks,77880,,,
13,"Dr Pepper®, Regular OR Zero Sugar Strawberries and Cream 12 pack, at select retailers",UNITED SUPERMARKETS,DR PEPPER,Cooking & Baking,10983,,,
14,"Arnold, Brownberry, Oroweat® Small Slice bread, at Walmart",WALMART,ARNOLD BROWNBERRY OROWEAT,Bread,8390,,,
15,"Arnold, Brownberry, Oroweat® Small Slice bread, at Walmart",WALMART,ARNOLD BROWNBERRY OROWEAT,Prepared Meals,86,,,
16,"Arnold, Brownberry, Oroweat® Small Slice bread, at Walmart",WALMART,ARNOLD BROWNBERRY OROWEAT,Bakery,20,,,
17,Barilla® Pesto Sauce,,BARILLA,Dry Pasta,25852,,,
18,Barilla® Pesto Sauce,,BARILLA,Chips,5816,,,
19,Barilla® Pesto Sauce,,BARILLA,Red Pasta Sauce,581,,,
20,Barilla® Pesto Sauce,,BARILLA,Pesto Sauce,525,,,
21,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Cheese,1489,,,
22,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Crackers,961,,,
23,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Fruit & Vegetable Snacks,228,,,
24,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Dressings,208,,,
25,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Cooking & Baking,106,,,
26,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Refrigerated Doughs,92,,,
27,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Packaged Vegetables,56,,,
28,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Frozen Meals,52,,,
29,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Chips,48,,,
30,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Frozen Pizza & Pizza Snacks,38,,,
31,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,"Cereal, Granola, & Toaster Pastries",32,,,
32,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Bread,20,,,
33,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Frozen Breakfast,18,,,
34,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Cookies,15,,,
35,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Soup & Broth,14,,,
36,Egglife Egg White Wraps at Aldi,ALDI,EGGLIFE,Eggs,27,,,
37,Spend $20 at Zaxby's,ZAXBYS,ZAXBYS,,,,,
38,Spend $10 at Subway,SUBWAY,SUBWAY,Cooking & Baking,762,,,
39,"DOVE® Chocolate, select sizes, buy 1",,DOVE CHOCOLATE,Candy,3730,c99c5725-4d9b-404a-8438-5cf1dc4f12c3,Gum,Candy
